81, HOW DO YOU FEEL
81, HELLO HOW ARE YOU TODAY
81, CAN YOU HEAR ME
80, WHEN WERE YOU BORN
80, WHAT IS WRONG
80, WHAT IS TODAY S DATE
80, TIC TAC TOE
80, THANX
80, SIRI
80, ON
80, OH NO
80, I UNDERSTAND
80, I AM WAITING
80, I AM A ROBOT
80, HEY BABY
80, AT
80, ARE YOU A LESBIAN
79, YES OR NO
79, WHAT DO YOU THINK ABOUT ME
79, TV
79, THIS
79, THAT IS ALRIGHT
79, SO WHAT IS YOUR NAME
79, SI
79, S ASTERISK ASTERISK ASTERISK
79, NOT YET
79, NO YOU
79, NO NOT REALLY
79, MEOW
79, HOW DO YOU
79, HI WHAT IS YOUR NAME
79, FIND
79, BABE
78, YOU ARE BORING
78, WHERE WERE YOU BORN
78, WHAT IS HIS NAME
78, TELL ME A FUNNY JOKE
78, SLEEPING
78, REMEMBER THAT
78, QUESTION
78, MHM
78, IT IS NOT
78, HOW SO
78, DO YOU SPEAK FRENCH
77, YOU ARE A B ASTERISK ASTERISK ASTERISK ASTERISK
77, YH
77, WHY DO YOU SAY THAT
77, WHAT IS A
77, TRY
77, TELL A JOKE
77, SUCK
77, STOP IT
77, MY NAME IS KHAN
76, YOUR MOTHER
76, YOU ARE AN IDIOT
76, WHERE DO U LIVE
76, WHAT THE F ASTERISK ASTERISK ASTERISK
76, WHAT IS THE
76, WANT TO HAVE SEX
76, MO
76, JUSTIN BIEBER
76, I WANT TO KISS YOU
76, HAHAHAHA
76, GUESS WHAT
75, YOU ARE SMART
75, XXX
75, WHORE
75, WHAT IS NEW
75, WHAT ARE YOU FROM
75, SAME
75, FINE THANK YOU
75, FACE
75, DASH LPAREN
75, CAN YOU TELL ME
75, CAA
75, BO
75, ARE YOU HORNY
74, YOU ARE SO FUNNY
74, YEAH I KNOW
74, WHO IS YOUR DADDY
74, WHO IS YOUR BEST FRIEND
74, TTYL
74, ME EITHER
74, I AM GAY
74, HOW CAN YOU HELP ME
73, YOU LOVE ME
73, Y NOT
73, TY
73, OM
73, NEW CONTACT
73, INTERNET
73, I WILL KILL YOU
73, I AM SICK
73, HU
73, DO YOU SMOKE
73, ARE YOU A BOY OR A GIRL
72, YOUR GAY
72, YOU ARE SO STUPID
72, YOU ARE GAY
72, YAS
72, WHAT OK
72, WHAT IS YOUR PHONE NUMBER
72, UP
72, UMM
72, LOVE U
72, JUST
72, I DO NOT WANT TO
72, I DO NOT KNOW YOU TELL ME
72, I AM FINE AND YOU
72, GO TO SLEEP
72, ARE
71, WHAT IS THE NAME
71, WASSUP
71, THE
71, OPEN CONTACTS
71, NO WHY
71, ME NEITHER
71, KOOL
71, I AM SLEEPY
71, I AM A BOY
71, DO YOU WANT
71, CAN YOU SPEAK ENGLISH
71, ARE YOU A GIRL OR A BOY
70, YOU ARE AWESOME
70, WHAT KIND OF MUSIC DO YOU LIKE
70, WE
70, THERE
70, TALK TO YOU LATER
70, SOMETHING
70, SO WHAT ARE YOU DOING
70, SO TELL ME
70, OK THANK YOU
70, OK OK
70, MY NAME IS CHRIS
70, LOW
70, LIKE WHO
70, LEEDS
